variable,variable_type,n,events,p_value,p_adjust_bh,significant
stage,factor,512,170,1.1177876952768471e-21,1.3413452343322164e-20,TRUE
path_m_stage,factor,510,170,6.131143739986878e-16,3.6786862439921266e-15,TRUE
grade,factor,504,169,4.31591496582559e-15,1.726365986330236e-14,TRUE
path_t_stage,factor,501,165,2.9717190294219375e-12,8.915157088265812e-12,TRUE
tbl_score,numeric,512,170,1.5406603615646847e-6,3.697584867755243e-6,TRUE
age,numeric,512,170,3.9842075114518545e-6,7.968415022903709e-6,TRUE
path_n_stage,factor,512,170,3.093204579344897e-4,5.302636421734109e-4,TRUE
aneuploidy_score,numeric,483,164,0.17996989369285796,0.2699548405392869,FALSE
tmb_nonsynonymous,numeric,402,123,0.3591846525187559,0.4525969518712514,FALSE
msi_sensor_score,numeric,497,166,0.37716412655937614,0.4525969518712514,FALSE
sex,factor,512,170,0.7791352040421993,0.7791352040421993,FALSE
msi_score_mantis,numeric,325,78,0.7529871926380972,0.7791352040421993,FALSE
