gene_feature,p_value
rna_COL7A1,1.8972135706949535e-18
rna_ZIC2,4.2769873128183264e-17
rna_STX1A,4.473548208507608e-17
rna_CCNF,8.237676650403394e-17
rna_CYFIP2,1.083218321075502e-16
rna_UBE2C,5.257651337828006e-16
rna_PLK1,7.124058243329736e-16
rna_RNF34,1.2268641136082072e-15
rna_TEK,2.1702176564947376e-15
rna_CILP,2.877512218788226e-15
rna_ANAPC7,3.0664773280452506e-15
rna_CHFR,3.1645909000682123e-15
rna_LRP8,4.363423952963679e-15
rna_UBE2S,5.6708396611896264e-15
rna_KL,1.326029302946875e-14
rna_ADAMTS14,2.2032302161479576e-14
rna_ITGA6,2.2118897672461574e-14
rna_AUP1,4.403246183649272e-14
rna_THBS3,5.2910218810899265e-14
rna_PTPRG,5.879605296958889e-14
rna_STAT2,5.913329325417525e-14
rna_EIF4EBP2,6.20777198216797e-14
rna_SPTBN1,1.6531874864299216e-13
rna_ADAM8,1.9251639433448144e-13
rna_HGS,2.0160206922878026e-13
rna_CDC20,2.2377138482075973e-13
rna_PINK1,2.3928423525423083e-13
rna_FBXL5,2.536209788731125e-13
rna_EDNRB,2.747286774391287e-13
rna_PRSS53,3.692226375741334e-13
rna_PDGFD,4.185797464119834e-13
rna_FBXL3,5.219976461157225e-13
rna_PCCA,9.14725074705953e-13
rna_TCIRG1,1.0269436827578335e-12
rna_FBXO3,1.4774053025754504e-12
rna_STX16,1.5190253584611511e-12
rna_NPEPL1,1.707866049274678e-12
rna_AR,2.43502500970738e-12
rna_FBXL6,2.6378382044475e-12
rna_FAM83A,2.667530540783373e-12
rna_KAT2A,3.1414388182340694e-12
rna_PDK4,4.059804610401098e-12
rna_LRBA,4.4744672047335415e-12
rna_ZNF598,4.725900938548979e-12
rna_GSDMB,4.778458226635147e-12
rna_ANAPC5,4.934009474815427e-12
rna_OTUD7A,5.038572538589318e-12
rna_GABBR1,5.414679457309534e-12
rna_AAAS,5.6794888383379665e-12
rna_COL4A4,5.729075704705648e-12
rna_TIMP3,6.396153731558894e-12
rna_KLK14,7.036551626165591e-12
rna_CX3CL1,7.466608110355876e-12
rna_KDR,8.206658076793916e-12
rna_KBTBD7,9.157224811533272e-12
rna_ACE2,9.657521945769171e-12
rna_SHC1,1.2474621179162127e-11
rna_PLAUR,1.318749466271845e-11
rna_DLX4,1.3861667662372658e-11
rna_PKHD1,1.574189532068775e-11
rna_RNF20,1.637929681729407e-11
rna_LIMK1,1.744144549573613e-11
rna_FBXO43,2.3227658710308318e-11
rna_UBQLNL,2.6801150888909032e-11
rna_ALDH3A2,2.7537026394480374e-11
rna_RPS6KA2,2.948354060193062e-11
rna_PRKCG,3.0165856127199934e-11
rna_ARHGAP24,3.035727884798457e-11
rna_RORC,3.1735566476359716e-11
rna_IDUA,3.2587795158748026e-11
rna_TMEM38B,3.496488583598192e-11
rna_PURA,3.5477773346139347e-11
rna_NPLOC4,3.7426409480336403e-11
rna_RHBDD3,3.782732844505521e-11
rna_MCTS1,4.794217640377638e-11
rna_PSMD13,4.8231928721741864e-11
rna_RBCK1,5.1109159198829e-11
rna_C1QTNF6,5.810884829073592e-11
rna_FZD4,6.006311137858829e-11
rna_NKX2-5,6.215520104701526e-11
rna_TRPC4AP,6.513540835480486e-11
rna_SLCO2A1,6.576344303505017e-11
rna_AURKA,6.919630536977906e-11
rna_SLC6A14,7.133562811008678e-11
rna_ITIH4,7.848822626535051e-11
rna_ARTN,9.132440247600633e-11
rna_PIK3R3,1.1170893373346528e-10
rna_CALCRL,1.189690320746999e-10
rna_LAGE3,1.29514288525176e-10
rna_RAG1,1.3371547462545607e-10
rna_KCNN4,1.3797114370096535e-10
rna_IL20RB,1.4097538615998022e-10
rna_PMAIP1,1.4273801808218357e-10
rna_LRRC19,1.5928363198671335e-10
rna_KLHL9,1.7703000171973386e-10
rna_UFSP2,1.8275005519850355e-10
rna_CLK2,2.263088699946935e-10
rna_PGPEP1,2.379089998052469e-10
rna_PCYOX1,2.3794036762961335e-10
rna_PRG4,2.556997271355006e-10
rna_IRF3,2.6339909556518293e-10
rna_CHAC1,2.9847684639262876e-10
rna_RNF10,3.03603036970216e-10
rna_KBTBD3,3.31207224222631e-10
rna_CBX4,3.391980763269557e-10
rna_SETD4,3.74616321229248e-10
rna_LRP5,4.324726073480179e-10
rna_TCF3,4.395505760475701e-10
rna_SAA1,4.757466708807598e-10
rna_ADRM1,5.2690195388951e-10
rna_PISD,5.502677407624616e-10
rna_CDK5RAP3,5.513501154766473e-10
rna_POLE,5.689439403681039e-10
rna_COL6A1,5.71308332723911e-10
rna_SPHK1,6.380968786089212e-10
rna_GTF2E2,6.408329498627796e-10
rna_WNT10B,6.83069354252231e-10
rna_LMNB2,7.149292947843432e-10
rna_UCN,7.185653961435138e-10
rna_FBXO48,7.47757269156387e-10
rna_NFKBIZ,8.451368764361438e-10
rna_MMRN2,8.653464888128332e-10
rna_SERPINB4,8.682402642737293e-10
rna_MMP19,9.001062965198821e-10
rna_PTX3,9.114021565279443e-10
rna_VWF,1.0461148813291633e-9
rna_GPRC5A,1.1309157549033794e-9
rna_CDCA7,1.1323289181848284e-9
rna_VAMP3,1.1920210854110781e-9
rna_GHR,1.262073177683504e-9
rna_RNF215,1.2644006398516303e-9
rna_SLC11A1,1.3578536482907598e-9
rna_DNASE1L3,1.359207612527088e-9
rna_TRHDE,1.3709112858998848e-9
rna_GNAS,1.3841683684826337e-9
rna_IFT20,1.3863706022954376e-9
rna_TRIM65,1.4494834866190379e-9
rna_FLRT3,1.5201699624150119e-9
rna_SH3D19,1.6134088474267054e-9
rna_PSMD7,1.6288032312170107e-9
rna_SMARCD1,1.6417284395606684e-9
rna_SOCS1,1.6783092621895628e-9
rna_MDK,1.7395599164237957e-9
rna_SRP19,1.7548377190406377e-9
rna_ISL1,1.7720671561779709e-9
rna_MUC5B,1.7771101558066684e-9
rna_EPHA4,1.8747416524974988e-9
rna_TIMP1,1.8913747888005566e-9
rna_EFNB2,1.936524624550533e-9
rna_DNMT3B,1.9953085382197732e-9
rna_FBXL19,2.101839650637131e-9
rna_SLC6A19,2.143328780328414e-9
rna_CCL7,2.1481108231117003e-9
rna_CHST4,2.246674398022378e-9
rna_FZD2,2.266994259606512e-9
rna_CNDP2,2.276933192040593e-9
rna_SBNO2,2.3348381038285194e-9
rna_STIL,2.3890804629364082e-9
rna_APP,2.3913776209934342e-9
rna_RIPK2,2.4133983783497414e-9
rna_TRIM2,2.5230377104115574e-9
rna_KIF14,2.6881555124968575e-9
rna_RNF166,2.8301015899071347e-9
rna_FAT4,2.8321892991480165e-9
rna_LTB4R,2.9642907431478175e-9
rna_MTM1,3.0642476916199934e-9
rna_RHBDF1,3.0868257440980085e-9
rna_HNRNPA2B1,3.117352691139301e-9
rna_HEPHL1,3.258446715634684e-9
rna_FGF23,3.2719752103090496e-9
rna_EREG,3.4881416019388597e-9
rna_CASP9,3.4974368884605113e-9
rna_PRKD1,3.66338822457967e-9
rna_TGFBR2,3.847552895021193e-9
rna_C1RL,4.063717037898898e-9
rna_VPS4B,4.110106047050847e-9
rna_BMP1,4.240982021086442e-9
rna_ERBB3,4.256460898143147e-9
rna_HIPK2,4.464152786309296e-9
rna_SMARCA2,4.807842994973742e-9
rna_ASAH1,4.808600988242792e-9
rna_SOS2,4.844262404189874e-9
rna_NIPAL4,4.851283894982682e-9
rna_CDH13,4.85640598026684e-9
rna_PLA2G2A,4.873523271726904e-9
rna_COLQ,5.14260449124066e-9
rna_CEBPB,5.283307325068311e-9
rna_SENP8,5.297966795472606e-9
rna_GRB10,5.540521877058119e-9
rna_UNC13D,5.718196593899722e-9
rna_HYAL1,5.773452863036204e-9
rna_NPFF,5.807242252779823e-9
rna_IRF6,6.026338847583745e-9
rna_ATG4B,6.104906770652908e-9
rna_CLEC14A,6.174738906234224e-9
rna_RORA,6.49286509180231e-9
rna_GAB1,6.696626352861445e-9
rna_USP51,6.847281367439089e-9
rna_TRAF7,6.9849397846171074e-9
rna_IFT27,7.405081824831828e-9
rna_PSMA4,8.234905039881026e-9
rna_KCTD17,8.465575400694992e-9
rna_NTN4,9.347709031435176e-9
rna_CRIM1,9.55427786517054e-9
rna_NBEA,9.769343406387831e-9
rna_ETFDH,1.0019151628410386e-8
rna_ADAM22,1.0339539242837863e-8
rna_SRPX2,1.038472473078588e-8
rna_SERPINA3,1.0425035478984847e-8
rna_JAK3,1.0740199757243019e-8
rna_EFNA4,1.0830834459878206e-8
rna_RILPL1,1.116044095192269e-8
rna_ENAM,1.1405455257323644e-8
rna_TRAF6,1.1416891765555183e-8
rna_PGLYRP2,1.1474566152001024e-8
rna_CD44,1.1636653413708086e-8
rna_RMND5A,1.1820255080161469e-8
rna_ANAPC4,1.213060995481912e-8
rna_MAGEA3,1.2155651840041467e-8
rna_BTD,1.2491969135380138e-8
rna_RCN3,1.3338255734619728e-8
rna_SRC,1.3932262428570289e-8
rna_CARD14,1.4385403743850792e-8
rna_SAA2,1.5325455375636986e-8
rna_DYRK4,1.5330425377110995e-8
rna_CTRL,1.604179630244788e-8
rna_FBXO46,1.6282795290454336e-8
rna_ACHE,1.6473247928790318e-8
rna_SLC19A1,1.698014954834603e-8
rna_CTSO,1.705936050808706e-8
rna_ZYG11B,1.723788725992189e-8
rna_STYK1,1.7350104783524974e-8
rna_MAP3K8,1.739609940932672e-8
rna_PDGFRL,1.7396403441578464e-8
rna_RIN2,1.745013184259431e-8
