pathway,rppa_feature,spearman_r
metalloprotease_activity,SERPINE1_PAI_1,-0.46558498351520183
kinase_activity,SRC_Src_pY527,0.4591527858398388
kinase_activity,MAPK1_MAPK3_MAPK_pT202_Y204,0.438527719243488
metalloprotease_activity,CDKN1A_p21,-0.4192796610030212
kinase_signalling,MAPK1_MAPK3_MAPK_pT202_Y204,0.4078794136983632
kinase_signalling,SRC_Src_pY527,0.40398266661785415
kinase_activity,GAB2_GAB2,0.35107791990829124
hallmark_inflammation,SERPINE1_PAI_1,0.33188284700722304
kinase_signalling,GAB2_GAB2,0.3255148817165611
inflammatory_response,SERPINE1_PAI_1,-0.3247031368584855
metalloprotease_activity,SRC_Src_pY527,0.31834313251325136
ecm_remodelling,CDKN1A_p21,-0.24108171427071787
neutrophil_activation,SERPINE1_PAI_1,-0.22532273991332585
ecm_remodelling,SERPINE1_PAI_1,-0.19485441602828146
inflammatory_response,CDKN1A_p21,-0.19277615593859157
inflammatory_response,SRC_Src_pY527,0.18316548830077647
neutrophil_degranulation,SRC_Src_pY527,0.17478406207527405
neutrophil_activation,SRC_Src_pY527,0.1742755353236315
metalloprotease_activity,GAB2_GAB2,0.170679679548009
hallmark_inflammation,CDKN1A_p21,0.16387589379634784
neutrophil_degranulation,SERPINE1_PAI_1,-0.1604225843705717
ecm_remodelling,MAPK1_MAPK3_MAPK_pT202_Y204,-0.1333520474933585
neutrophil_degranulation,MAPK1_MAPK3_MAPK_pT202_Y204,0.1303953982914957
hallmark_inflammation,SRC_Src_pY527,-0.1299502251630281
neutrophil_activation,CDKN1A_p21,-0.11722352122592093
kinase_activity,SERPINE1_PAI_1,-0.10958882590243273
kinase_activity,CDKN1A_p21,-0.0937285731626059
neutrophil_activation,MAPK1_MAPK3_MAPK_pT202_Y204,0.09292170345748534
metalloprotease_activity,MAPK1_MAPK3_MAPK_pT202_Y204,0.09267221694541802
hallmark_inflammation,GAB2_GAB2,0.0585410386557585
ecm_remodelling,SRC_Src_pY527,-0.054688009444453414
kinase_signalling,SERPINE1_PAI_1,-0.0495504193422003
neutrophil_degranulation,CDKN1A_p21,-0.043916341478720235
inflammatory_response,MAPK1_MAPK3_MAPK_pT202_Y204,0.02903360011377266
inflammatory_response,GAB2_GAB2,-0.02736163653405862
ecm_remodelling,GAB2_GAB2,0.022999950596412976
neutrophil_activation,GAB2_GAB2,0.012370132444252634
kinase_signalling,CDKN1A_p21,-0.008514326653620485
neutrophil_degranulation,GAB2_GAB2,0.0029363235209773192
hallmark_inflammation,MAPK1_MAPK3_MAPK_pT202_Y204,2.762881985345839e-4
