gene,rna_col,queries,gs_names
ANXA3,rna_ANXA3,neutrophil_activation; neutrophil_degranulation,GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_DEGRANULATION; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY
BCR,rna_BCR,inflammatory_response; kinase_activity; neutrophil_activation; neutrophil_degranulation,GOBP_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_DEGRANULATION; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_NEUTROPHIL_DEGRANULATION; GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY
CD177,rna_CD177,neutrophil_activation; neutrophil_degranulation,GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_DEGRANULATION; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_REGULATION_OF_NEUTROPHIL_DEGRANULATION
ITGAM,rna_ITGAM,inflammatory_response; neutrophil_activation; neutrophil_degranulation,GOBP_INFLAMMATORY_RESPONSE; GOBP_NEUROINFLAMMATORY_RESPONSE; GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_DEGRANULATION; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_REGULATION_OF_NEUTROPHIL_DEGRANULATION; HP_INCREASED_INFLAMMATORY_RESPONSE
ITGB2,rna_ITGB2,inflammatory_response; neutrophil_activation; neutrophil_degranulation,GOBP_INFLAMMATORY_RESPONSE; GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_NEUROINFLAMMATORY_RESPONSE; GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_DEGRANULATION; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_REGULATION_OF_NEUTROPHIL_DEGRANULATION; HP_INCREASED_INFLAMMATORY_RESPONSE
PRAM1,rna_PRAM1,neutrophil_activation; neutrophil_degranulation,GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_DEGRANULATION; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_REGULATION_OF_NEUTROPHIL_DEGRANULATION
SPI1,rna_SPI1,inflammatory_response; neutrophil_activation; neutrophil_degranulation,GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_DEGRANULATION; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_REGULATION_OF_NEUTROPHIL_DEGRANULATION; HP_INCREASED_INFLAMMATORY_RESPONSE
STXBP2,rna_STXBP2,inflammatory_response; neutrophil_activation; neutrophil_degranulation,GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_DEGRANULATION; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; HP_INCREASED_INFLAMMATORY_RESPONSE
STXBP3,rna_STXBP3,neutrophil_activation; neutrophil_degranulation,GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_DEGRANULATION; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY
SYK,rna_SYK,ecm_remodelling; inflammatory_response; kinase_activity; kinase_signalling; neutrophil_activation; neutrophil_degranulation,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOBP_COLLAGEN_ACTIVATED_SIGNALING_PATHWAY; GOBP_COLLAGEN_ACTIVATED_TYROSINE_KINASE_RECEPTOR_SIGNALING_PATHWAY; GOBP_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_DEGRANULATION; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_REGULATION_OF_NEUTROPHIL_DEGRANULATION; GOMF_NON_MEMBRANE_SPANNING_PROTEIN_TYROSINE_KINASE_ACTIVITY; GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY; HP_INCREASED_INFLAMMATORY_RESPONSE
