feature,n,events,hazard_ratio,conf_low,conf_high,p_value,p_adjust_bh,abs_log_hr
GAB2_GAB2,454,158,0.5404267732031435,0.44466346185797634,0.6568137979550139,6.246056450180958e-10,3.197153867779335e-8,0.6153961308162471
CDKN1A_p21,454,158,1.591402322414655,1.379622563020248,1.8356914562505513,1.8093501963773774e-10,3.197153867779335e-8,0.46461559131341523
SRC_Src_pY527,454,158,0.6484441747875946,0.5651219467741616,0.7440515276678858,6.695610194302272e-10,3.197153867779335e-8,0.43317936252765976
SERPINE1_PAI_1,454,158,1.5311032571377594,1.3390493525531455,1.7507026007279398,4.681300488739911e-10,3.197153867779335e-8,0.4259885586454136
MAPK1_MAPK3_MAPK_pT202_Y204,454,158,0.6033283915706438,0.5099178651519827,0.7138505491795765,3.919502443470859e-9,1.497249933405868e-7,0.5052936341908086
ERRFI1_MIG_6,454,158,0.5289931105461482,0.42698151944078927,0.6553766340327398,5.687583092878059e-9,1.551897672485299e-7,0.6367798707508977
AR_AR,454,158,0.6450581300379671,0.5568630132969257,0.7472214551735897,5.078407275326634e-9,1.551897672485299e-7,0.43841484215742493
TFRC_TFRC,454,158,1.5498328316536407,1.3331771485043,1.8016974029042883,1.1779730684329396e-8,2.8124107008836434e-7,0.4381470745688287
CCNB1_Cyclin_B1,454,158,1.4223537635625432,1.254734856709156,1.612364730208079,3.6492038775272315e-8,7.744421562307791e-7,0.35231307931732847
PEA15_PEA15,454,158,1.5831316533048834,1.3410736301104949,1.8688801087598388,5.7520399441125944e-8,1.0986396293255057e-6,0.45940494440524526
ERBB3_HER3,454,158,0.5899032579569454,0.4870329245961972,0.7145017023987367,6.726850533590645e-8,1.1528959512092748e-6,0.5277967250913499
PRKAA1_AMPK_pT172,454,158,0.6478558458927827,0.5531756254540144,0.7587413069998762,7.243325347911674e-8,1.1528959512092748e-6,0.43408706741976993
ACACA_ACC1,454,158,1.4287393833218165,1.2504324538551645,1.6324722052449578,1.554833625252425e-7,2.284409403255486e-6,0.35679250535339
CTNNB1_beta_Catenin,454,158,0.6919273585523547,0.6022914969743787,0.7949032518611254,1.9653033088979684e-7,2.6812352285679425e-6,0.36827430206477735
SHC1_Shc_pY317,454,158,0.6359729717707671,0.5345620247681129,0.7566224349707442,3.278137496503511e-7,4.1741617455478036e-6,0.45259921376082224
IGFBP2_IGFBP2,454,158,1.3164594846408675,1.1801979417830184,1.4684533105375688,8.140991927164111e-7,9.718309113052159e-6,0.274945924426254
EGFR_EGFR_pY1068,454,158,0.6666002407067682,0.5632004550696297,0.7889835260438215,2.4061524646570573e-6,2.7033830632323408e-5,0.4055647520123011
RPS6KA1_p90RSK,454,158,0.6830405108229997,0.5741041010011083,0.8126476341342902,1.7060440127726375e-5,1.7150231917872303e-4,0.3812011081058761
RAD51_Rad51,454,158,1.3623824081705327,1.1833565017246077,1.5684925239245364,1.691364933308562e-5,1.7150231917872303e-4,0.30923493790080675
CDH3_P_Cadherin,454,158,1.3874505991618251,1.1925867636963494,1.6141543942245582,2.226661641570973e-5,2.1264618677002792e-4,0.32746796179691406
ERBB3_HER3_pY1298,454,158,0.649992807272284,0.5320890002393723,0.7940225212617391,2.4590198881623396e-5,2.1626155791276458e-4,0.4307939818886276
TSC2_Tuberin_pT1462,454,158,0.7122786706449725,0.6083346608105754,0.833983228869062,2.4909708241260843e-5,2.1626155791276458e-4,0.3392860527884798
YWHAZ_14_3_3_zeta,454,158,1.3319636634125407,1.164571230779895,1.5234166479136282,2.872193966239948e-5,2.3851697719644787e-4,0.28665429202578424
FASN_FASN,454,158,1.3487626023168868,1.1710296563946616,1.553470953937588,3.32633888718722e-5,2.647211364386496e-4,0.2991875812476762
PTEN_PTEN,454,158,0.7456597601103256,0.6475185085226901,0.8586758069917086,4.580540074973663e-5,3.499532617279878e-4,0.2934858684600631
VHL_VHL,454,158,0.7293414535792827,0.6254056154706099,0.8505503352554061,5.732156130896006e-5,4.2109300807736044e-4,0.31561327037792
PDK1_PDK1_pS241,454,158,0.7206808311048136,0.6140855375098615,0.8457793395168247,6.047097850181904e-5,4.277761812536088e-4,0.3275589150122166
ASNS_ASNS,454,158,1.3010536492188505,1.1420680315793188,1.4821714217890039,7.569796358017693e-5,5.163682515647784e-4,0.26317443558933584
